game_id,season,week,season_type,team,opponent,home_away,layer,statistic,official_value,reconstructed_value,raw_difference,absolute_difference,root_cause
401752951,2025,8,regular,Washington State,Virginia,away,canon,third_down_attempts,12,10,-2,2,kneel_accounting
401761630,2025,8,regular,Georgia Southern,Georgia State,home,canon,total_plays,69,67,-2,2,fumble_or_safety_swallows_scrimmage_type
401761630,2025,8,regular,Georgia Southern,Georgia State,home,canon,total_yards,420,414.0,-6.0,6.0,fumble_or_safety_swallows_scrimmage_type
401761630,2025,8,regular,Georgia Southern,Georgia State,home,canon,pass_attempts,27,26,-1,1,fumble_or_safety_swallows_scrimmage_type
401761630,2025,8,regular,Georgia Southern,Georgia State,home,canon,completions,18,17,-1,1,no_play_penalty
401761630,2025,8,regular,Georgia Southern,Georgia State,home,canon,net_pass_yards,212,204.0,-8.0,8.0,fumble_or_safety_swallows_scrimmage_type
401761630,2025,8,regular,Georgia Southern,Georgia State,home,canon,rush_attempts,42,41,-1,1,fumble_or_safety_swallows_scrimmage_type
401761630,2025,8,regular,Georgia Southern,Georgia State,home,canon,rush_yards,208,210.0,2.0,2.0,fumble_or_safety_swallows_scrimmage_type
401761630,2025,8,regular,Georgia Southern,Georgia State,home,canon,third_down_attempts,13,12,-1,1,no_play_penalty
401761630,2025,8,regular,Georgia State,Georgia Southern,away,canon,total_yards,444,454.0,10.0,10.0,duplicate_plays
401761630,2025,8,regular,Georgia State,Georgia Southern,away,canon,pass_attempts,38,39,1,1,duplicate_plays
401761630,2025,8,regular,Georgia State,Georgia Southern,away,canon,net_pass_yards,280,288.0,8.0,8.0,duplicate_plays
401761630,2025,8,regular,Georgia State,Georgia Southern,away,canon,rush_attempts,34,33,-1,1,duplicate_plays
401761630,2025,8,regular,Georgia State,Georgia Southern,away,canon,rush_yards,164,166.0,2.0,2.0,duplicate_plays
401761630,2025,8,regular,Georgia State,Georgia Southern,away,canon,turnovers,1,0,-1,1,no_play_penalty
401761630,2025,8,regular,Georgia State,Georgia Southern,away,canon,fumbles_lost,1,0,-1,1,no_play_penalty
401761630,2025,8,regular,Georgia State,Georgia Southern,away,canon,fourth_down_attempts,2,3,1,1,no_play_penalty
401760394,2025,8,regular,Colorado State,Hawai'i,home,canon,total_yards,261,264.0,3.0,3.0,fumble_or_safety_swallows_scrimmage_type
401760394,2025,8,regular,Colorado State,Hawai'i,home,canon,rush_yards,85,88.0,3.0,3.0,fumble_or_safety_swallows_scrimmage_type
401760394,2025,8,regular,Colorado State,Hawai'i,home,canon,turnovers,1,0,-1,1,no_play_penalty
401760394,2025,8,regular,Colorado State,Hawai'i,home,canon,fumbles_lost,1,0,-1,1,no_play_penalty
401760394,2025,8,regular,Colorado State,Hawai'i,home,canon,third_down_attempts,15,13,-2,2,no_play_penalty
401760394,2025,8,regular,Hawai'i,Colorado State,away,canon,total_plays,66,65,-1,1,fumble_or_safety_swallows_scrimmage_type
401760394,2025,8,regular,Hawai'i,Colorado State,away,canon,pass_attempts,38,37,-1,1,fumble_or_safety_swallows_scrimmage_type
401760394,2025,8,regular,Hawai'i,Colorado State,away,canon,third_down_attempts,14,13,-1,1,no_play_penalty
401752743,2025,8,regular,Kentucky,Texas,home,canon,total_plays,86,84,-2,2,fumble_or_safety_swallows_scrimmage_type
401752743,2025,8,regular,Kentucky,Texas,home,canon,total_yards,395,420.0,25.0,25.0,fumble_or_safety_swallows_scrimmage_type
401752743,2025,8,regular,Kentucky,Texas,home,canon,pass_attempts,40,39,-1,1,fumble_or_safety_swallows_scrimmage_type
401752743,2025,8,regular,Kentucky,Texas,home,canon,net_pass_yards,258,286.0,28.0,28.0,fumble_or_safety_swallows_scrimmage_type
401752743,2025,8,regular,Kentucky,Texas,home,canon,rush_attempts,46,45,-1,1,fumble_or_safety_swallows_scrimmage_type
401752743,2025,8,regular,Kentucky,Texas,home,canon,rush_yards,137,134.0,-3.0,3.0,fumble_or_safety_swallows_scrimmage_type
401752743,2025,8,regular,Kentucky,Texas,home,canon,third_down_attempts,18,17,-1,1,no_play_penalty
401752743,2025,8,regular,Texas,Kentucky,away,canon,total_yards,179,185.0,6.0,6.0,fumble_or_safety_swallows_scrimmage_type
